Time	Position
8.550000	9.887933
8.600000	9.876182
8.650000	9.879558
8.700000	9.901743
8.750000	9.800397
8.800000	9.569922
8.850000	9.361213
8.900000	9.236883
8.950000	9.164784
9.000000	9.144063
9.050000	9.146641
9.100000	9.140724
9.150000	9.028781
9.200000	8.962294
9.250000	8.966784
9.300000	8.874914
9.350000	8.780098
9.400000	8.718440
9.450000	8.622408
9.500000	8.521186
9.550000	8.493151
9.600000	8.460015
9.650000	8.361022
9.700000	8.370573
9.750000	8.423699
9.800000	8.331607
9.850000	8.179474
9.900000	8.028412
9.950000	7.992413
10.000000	8.006385
10.050000	8.000734
10.100000	7.987911
10.150000	7.960394
10.200000	7.920358
10.250000	7.836192
10.300000	7.812705
10.350000	7.849551
10.400000	7.882029
10.450000	7.775415
10.500000	7.619324
10.550000	7.423178
10.600000	7.283656
10.650000	7.357295
10.700000	7.466010
10.750000	7.583619
10.800000	7.649293
10.850000	7.637678
10.900000	7.669236
10.950000	7.705403
11.000000	7.732499
11.050000	7.695464
11.100000	7.575347
11.150000	7.406484
11.200000	7.345820
11.250000	7.402544
11.300000	7.241054
11.350000	7.014431
11.400000	6.874402
11.450000	6.670573
11.500000	6.515333
11.550000	6.462692
11.600000	6.410937
11.650000	6.396857
11.700000	6.447018
11.750000	6.547574
11.800000	6.642742
11.850000	6.653841
11.900000	6.605738
11.950000	6.491398
12.000000	6.349985
12.050000	6.261031
12.100000	6.149368
12.150000	6.166756
12.200000	6.231438
12.250000	6.233724
12.300000	6.194574
12.350000	6.113375
12.400000	6.068649
12.450000	6.047687
12.500000	6.019333
12.550000	6.012601
12.600000	6.016886
12.650000	5.988346
12.700000	5.936534
12.750000	5.819140
12.800000	5.780682
12.850000	5.810165
12.900000	5.726059
12.950000	5.599684
13.000000	5.498024
13.050000	5.354591
13.100000	5.343710
13.150000	5.473934
13.200000	5.472148
13.250000	5.515917
13.300000	5.649340
13.350000	5.618966
13.400000	5.441804
13.450000	5.276099
13.500000	5.137523
13.550000	4.961644
13.600000	4.774088
13.650000	4.658837
13.700000	4.609084
13.750000	4.527473
13.800000	4.421392
13.850000	4.347756
13.900000	4.259576
13.950000	4.167558
14.000000	4.131521
14.050000	4.154889
14.100000	4.095514
14.150000	3.891131
14.200000	3.764046
14.250000	3.734498
14.300000	3.702859
14.350000	3.675321
14.400000	3.704563
14.450000	3.669608
14.500000	3.542010
14.550000	3.455606
14.600000	3.389749
14.650000	3.379163
14.700000	3.451998
14.750000	3.552009
14.800000	3.575754
14.850000	3.509411
14.900000	3.408392
14.950000	3.330352
15.000000	3.374558
15.050000	3.374210
15.100000	3.267756
15.150000	3.208829
15.200000	3.164292
15.250000	3.145292
15.300000	3.139555
15.350000	3.152444
15.400000	3.153154
15.450000	3.135154
15.500000	3.062463
15.550000	2.920534
15.600000	2.778924
15.650000	2.691348
15.700000	2.657995
15.750000	2.558979
15.800000	2.491899
15.850000	2.562229
15.900000	2.586770
15.950000	2.410173
16.000000	2.265127
16.050000	2.318811
16.100000	2.516772
16.150000	2.598684
16.200000	2.537996
16.250000	2.529223
16.300000	2.568721
16.350000	2.644940
16.400000	2.697300
16.450000	2.648459
16.500000	2.619465
16.550000	2.602496
16.600000	2.545313
16.650000	2.507955
16.700000	2.487943
16.750000	2.516830
16.800000	2.506241
16.850000	2.440297
16.900000	2.308197
16.950000	2.168942
17.000000	2.076427
17.050000	2.025723
17.100000	1.964620
17.150000	1.898542
17.200000	1.856107
17.250000	1.889354
17.300000	1.988985
17.350000	2.089973
17.400000	2.223555
17.450000	2.248223
17.500000	2.183326
17.550000	2.108831
17.600000	2.101845
17.650000	2.171768
17.700000	2.261126
17.750000	2.322144
17.800000	2.369423
17.850000	2.408366
17.900000	2.405947
17.950000	2.372442
18.000000	2.335896
18.050000	2.252042
18.100000	2.098840
18.150000	2.020598
18.200000	1.962324
18.250000	1.920582
18.300000	1.909562
18.350000	1.902759
18.400000	1.975167
18.450000	2.060882
18.500000	2.103586
18.550000	2.224044
18.600000	2.305159
18.650000	2.278331
18.700000	2.241530
18.750000	2.167779
18.800000	2.105525
18.850000	1.960716
18.900000	1.751775
18.950000	1.604463
19.000000	1.472573
19.050000	1.410112
19.100000	1.373829
19.150000	1.299530
19.200000	1.247150
19.250000	1.331806
19.300000	1.465217
19.350000	1.488911
19.400000	1.494267
19.450000	1.551569
19.500000	1.497994
19.550000	1.444285
19.600000	1.401684
19.650000	1.338783
19.700000	1.376880
19.750000	1.296256
19.800000	1.181181
19.850000	1.206067
19.900000	1.266749
19.950000	1.301739
20.000000	1.284659
