Time	Position	CP
302.400000	11.383051	16.649506
302.500000	11.582849	16.539352
302.600000	11.594818	16.550322
302.700000	11.655915	16.533844
302.800000	11.738397	16.591786
302.900000	11.828960	16.605507
303.000000	11.789782	16.722057
303.100000	11.943038	16.836576
303.200000	11.962621	16.863009
303.300000	12.036997	16.853265
303.400000	11.846650	16.748280
303.500000	11.731640	16.818093
303.600000	11.645155	16.869650
303.700000	11.470908	16.936335
303.800000	11.473737	16.911306
303.900000	11.645280	16.955685
304.000000	11.578621	16.891002
304.100000	11.422927	16.897854
304.200000	11.413515	16.686859
304.300000	11.468702	16.616811
304.400000	11.511239	16.721022
304.500000	11.685329	16.724013
304.600000	11.692725	16.724226
304.700000	11.560252	16.621881
304.800000	11.589083	16.546840
304.900000	11.628843	16.474789
305.000000	11.730500	16.546454
305.100000	11.651831	16.417131
305.200000	11.815943	16.306213
305.300000	12.046607	16.308538
305.400000	12.090422	16.274048
305.500000	11.935407	16.330692
305.600000	11.844212	16.310003
305.700000	11.919172	16.397165
305.800000	11.768411	16.520207
305.900000	11.637912	16.492491
306.000000	11.659572	16.621990
306.100000	11.466182	16.638133
306.200000	11.507721	16.711494
306.300000	11.548318	16.528850
306.400000	11.548309	16.465754
306.500000	11.610042	16.457939
306.600000	11.724199	16.440305
306.700000	11.755639	16.487517
306.800000	11.702701	16.533931
306.900000	11.809363	16.595999
307.000000	11.873180	16.530518
307.100000	11.971349	16.497447
307.200000	11.899515	16.732756
307.300000	12.058305	16.942064
307.400000	11.866766	17.144253
307.500000	11.796764	17.178544
307.600000	11.888133	17.272137
307.700000	11.942638	17.464696
307.800000	12.005613	17.638992
307.900000	12.133816	17.880261
308.000000	12.171514	17.912990
308.100000	12.357458	17.998532
308.200000	12.337142	17.862577
308.300000	12.313214	17.878785
308.400000	12.226526	17.902953
308.500000	12.091427	17.984093
308.600000	12.113088	18.196811
308.700000	12.142116	18.374613
308.800000	12.155561	18.194416
308.900000	12.131025	18.147859
309.000000	12.015543	18.105493
309.100000	11.814193	18.062813
309.200000	11.753874	18.031214
309.300000	11.835516	17.858187
309.400000	11.689765	17.939588
309.500000	11.756163	17.979787
309.600000	11.885924	17.935794
309.700000	11.954615	18.043673
309.800000	12.059628	18.089937
309.900000	12.032670	18.119422
310.000000	12.103994	18.109464
310.100000	11.929686	18.157877
310.200000	11.982680	18.064658
310.300000	11.989112	17.942158
310.400000	12.208324	18.049374
310.500000	12.256195	17.946098
310.600000	12.264534	17.806384
310.700000	12.389360	17.795284
310.800000	12.565669	17.618443
310.900000	12.687112	17.594899
311.000000	12.608724	17.552031
311.100000	12.472438	17.385479
311.200000	12.624009	17.331718
311.300000	12.567143	17.339252
311.400000	12.555363	17.500666
311.500000	12.626830	17.512284
311.600000	12.673234	17.501731
311.700000	12.787202	17.539436
311.800000	12.618722	17.610921
311.900000	12.609116	17.582640
312.000000	12.479615	17.410460
312.100000	12.383582	17.240664
312.200000	12.427591	17.258843
312.300000	12.457895	17.201948
312.400000	12.271042	17.186741
312.500000	12.293963	17.079396
312.600000	12.202239	16.966820
312.700000	12.217191	16.838843
312.800000	12.255176	16.613405
312.900000	12.264112	16.419723
313.000000	12.375712	16.539612
313.100000	12.493556	16.413853
313.200000	12.410242	16.238957
313.300000	12.311423	16.235714
313.400000	12.250153	16.224009
313.500000	12.218299	16.264350
313.600000	12.076745	16.328287
313.700000	12.037784	16.217305
313.800000	11.837635	16.336943
313.900000	11.966998	16.403037
314.000000	11.975941	16.466458
314.100000	12.030105	16.544919
314.200000	12.166418	16.505047
314.300000	12.329724	16.541546
314.400000	12.428783	16.691513
314.500000	12.462098	16.808155
314.600000	12.609158	16.883278
314.700000	12.630413	16.907729
314.800000	12.513791	17.030602
314.900000	12.411655	17.187387
315.000000	12.444479	17.163587
315.100000	12.359454	17.211738
315.200000	12.328078	17.336721
315.300000	12.439686	17.409895
315.400000	12.516184	17.401326
315.500000	12.386441	17.403825
315.600000	12.282644	17.285100
315.700000	12.338896	17.049556
315.800000	12.402634	16.997954
315.900000	12.604438	17.058620
316.000000	12.755518	17.225079
316.100000	12.918614	17.333836
316.200000	12.940117	17.508704
316.300000	12.978890	17.550941
316.400000	12.914459	17.424215
316.500000	12.934555	17.392272
316.600000	12.962450	17.498523
316.700000	12.932433	17.412209
316.800000	12.844763	17.403336
316.900000	12.863067	17.349043
317.000000	12.855086	17.246876
317.100000	12.946639	17.166394
317.200000	12.880990	17.288505
317.300000	12.991787	17.494925
317.400000	12.930063	17.820950
317.500000	12.792124	17.834638
317.600000	12.788626	17.755757
317.700000	12.636188	17.883166
317.800000	12.682014	18.030562
317.900000	12.614908	18.077795
318.000000	12.323893	18.028197
318.100000	12.300877	17.907749
318.200000	12.475699	17.858490
318.300000	12.548928	17.829404
318.400000	12.508211	17.850171
318.500000	12.454511	18.150004
318.600000	12.509873	18.148561
318.700000	12.736388	18.109380
318.800000	12.771135	18.302739
318.900000	12.694162	18.496091
319.000000	12.708352	18.256635
319.100000	12.659724	18.232277
319.200000	12.714211	18.187973
319.300000	12.785030	18.143806
319.400000	12.689133	18.176733
319.500000	12.612638	18.224850
319.600000	12.673051	18.189196
319.700000	12.680097	18.121603
319.800000	12.584365	18.181455
319.900000	12.518052	18.269979
320.000000	12.548534	18.095455
320.100000	12.598351	18.029620
320.200000	12.664583	17.933964
320.300000	12.642148	17.791383
320.400000	12.455423	17.722205
320.500000	12.375320	17.547240
320.600000	12.379157	17.519728
320.700000	12.503180	17.692097
320.800000	12.403870	17.925555
320.900000	12.415360	17.914553
321.000000	12.484741	17.850915
321.100000	12.434876	17.931976
321.200000	12.276017	18.089538
321.300000	12.184510	18.305768
321.400000	12.283865	18.362363
321.500000	12.397706	18.278937
321.600000	12.435242	18.265979
321.700000	12.417706	18.413718
321.800000	12.521966	18.534386
321.900000	12.390256	18.715258
322.000000	12.335462	18.844574
322.100000	12.251120	18.801525
322.200000	12.341983	18.913776
322.300000	12.355931	18.977208
322.400000	12.359215	18.810296
322.500000	12.291398	18.879848
322.600000	12.253547	19.093486
322.700000	12.212898	19.242513
322.800000	12.342293	19.206228
322.900000	12.433810	19.248337
323.000000	12.298284	19.352229
323.100000	12.116236	19.263705
323.200000	12.113335	19.192227
323.300000	12.076705	19.253204
323.400000	12.193319	19.391983
323.500000	12.213681	19.587800
323.600000	12.272449	19.563859
323.700000	12.278542	19.506946
323.800000	12.216678	19.564579
323.900000	12.230326	19.425406
324.000000	12.259684	19.412576
324.100000	12.409271	19.578244
324.200000	12.369348	19.646497
324.300000	12.391373	19.764358
324.400000	12.325072	19.830567
324.500000	12.205970	19.725872
324.600000	12.182718	19.711911
324.700000	12.115996	19.482233
324.800000	11.991635	19.595400
324.900000	11.982266	19.656432
325.000000	11.878724	19.714683
325.100000	11.738316	19.923270
325.200000	11.601997	19.957043
325.300000	11.403491	19.846509
325.400000	11.089966	19.891472
325.500000	10.814777	19.957829
325.600000	10.824053	20.095642
325.700000	10.874923	20.021413
325.800000	10.804448	20.056406
325.900000	10.796016	19.991711
326.000000	10.915007	19.855766
326.100000	10.929121	19.620759
326.200000	10.991731	19.495749
326.300000	10.995758	19.453417
326.400000	11.086654	19.308418
326.500000	11.063518	19.309101
326.600000	10.956925	19.220276
326.700000	10.860183	19.385909
326.800000	10.893334	19.559135
326.900000	10.913799	19.485625
327.000000	10.888342	19.552122
327.100000	10.908689	19.528195
327.200000	10.892082	19.716735
327.300000	10.912590	19.739337
327.400000	10.961837	19.829686
327.500000	11.009347	19.649485
327.600000	11.087452	19.677499
327.700000	11.313882	19.771116
327.800000	11.313943	19.943213
327.900000	11.382276	20.024591
328.000000	11.358521	20.135770
328.100000	11.394701	20.237245
328.200000	11.207351	20.446560
328.300000	11.290311	20.331574
328.400000	11.451740	20.360436
328.500000	11.508627	20.285259
328.600000	11.413346	20.223119
328.700000	11.464709	20.183026
328.800000	11.627031	20.163995
328.900000	11.783433	20.093463
329.000000	11.799747	20.046169
329.100000	11.945820	20.053272
329.200000	12.077407	20.084212
329.300000	12.165222	20.019205
329.400000	12.336527	19.815585
329.500000	12.421713	19.778547
329.600000	12.422509	19.732599
329.700000	12.381099	19.919083
329.800000	12.474560	20.094462
329.900000	12.546206	20.021599
330.000000	12.550780	19.741126
330.100000	12.520528	19.670423
330.200000	12.561010	19.650133
330.300000	12.812194	19.559267
330.400000	12.722207	19.430150
330.500000	12.829913	19.440653
330.600000	12.960546	19.611038
330.700000	12.867684	19.719307
330.800000	12.750489	19.837674
330.900000	12.723752	19.987011
331.000000	12.810989	20.125181
331.100000	12.889330	20.298066
331.200000	12.963989	20.414951
331.300000	12.947071	20.418609
331.400000	12.932043	20.087384
331.500000	12.950130	20.069203
331.600000	12.971605	20.072165
331.700000	13.062815	20.212379
331.800000	12.868343	20.158614
331.900000	12.859507	20.039352
332.000000	12.804198	19.923159
332.100000	12.799736	19.768916
332.200000	12.807069	19.858461
332.300000	12.778708	19.821387
332.400000	12.750948	19.740298
332.500000	12.774392	19.527372
