Time	AutoCorrelation
9.900000	0.002770
10.000000	0.002931
10.100000	0.003001
10.200000	0.003001
10.300000	0.002800
10.400000	0.002583
10.500000	0.002682
10.600000	0.002728
10.700000	0.002604
10.800000	0.002589
10.900000	0.002695
11.000000	0.002893
11.100000	0.003039
11.200000	0.002971
11.300000	0.002907
11.400000	0.002616
11.500000	0.002623
11.600000	0.002816
11.700000	0.002892
11.800000	0.002494
11.900000	0.001961
12.000000	0.002112
12.100000	0.001969
12.200000	0.002086
12.300000	0.002246
12.400000	0.002312
12.500000	0.002363
12.600000	0.002155
12.700000	0.001955
12.800000	0.001509
12.900000	0.001145
13.000000	0.000839
13.100000	0.000286
13.200000	-0.000339
13.300000	-0.001081
13.400000	-0.001373
13.500000	-0.001592
13.600000	-0.001235
13.700000	-0.000728
13.800000	-0.000182
13.900000	0.000244
14.000000	0.000677
14.100000	0.001334
14.200000	0.001956
14.300000	0.002730
14.400000	0.003240
14.500000	0.003466
14.600000	0.003467
14.700000	0.003608
14.800000	0.003460
14.900000	0.003189
15.000000	0.002776
15.100000	0.002442
15.200000	0.002537
15.300000	0.002502
15.400000	0.002055
15.500000	0.001729
15.600000	0.001037
15.700000	0.000487
15.800000	-0.000112
15.900000	-0.000586
16.000000	-0.001047
16.100000	-0.001506
16.200000	-0.002233
16.300000	-0.002647
16.400000	-0.002936
16.500000	-0.003080
16.600000	-0.002952
16.700000	-0.002885
16.800000	-0.002809
16.900000	-0.002512
17.000000	-0.002023
17.100000	-0.001404
17.200000	-0.001161
17.300000	-0.000801
17.400000	-0.000830
17.500000	-0.001065
17.600000	-0.001001
17.700000	-0.000861
17.800000	-0.000838
17.900000	-0.000461
18.000000	-0.000043
18.100000	0.000574
18.200000	0.001373
18.300000	0.001910
18.400000	0.002233
18.500000	0.002713
18.600000	0.003123
18.700000	0.003841
18.800000	0.003884
18.900000	0.004047
19.000000	0.004335
19.100000	0.004337
19.200000	0.004192
19.300000	0.003589
19.400000	0.002906
19.500000	0.002290
19.600000	0.001293
19.700000	0.000303
19.800000	-0.000649
19.900000	-0.001497
20.000000	-0.002249
20.100000	-0.003087
20.200000	-0.003663
20.300000	-0.004112
20.400000	-0.004580
20.500000	-0.005059
20.600000	-0.005049
20.700000	-0.004722
20.800000	-0.004548
20.900000	-0.004470
21.000000	-0.004002
21.100000	-0.003746
21.200000	-0.003397
21.300000	-0.003069
21.400000	-0.002463
21.500000	-0.001904
21.600000	-0.001523
21.700000	-0.001046
21.800000	-0.000540
21.900000	0.000278
22.000000	0.000779
22.100000	0.001466
22.200000	0.001994
22.300000	0.001864
22.400000	0.001553
22.500000	0.001014
22.600000	0.000744
22.700000	0.000437
22.800000	0.000306
22.900000	-0.000021
23.000000	-0.000265
23.100000	-0.000437
23.200000	-0.000545
23.300000	-0.000581
23.400000	-0.000806
23.500000	-0.000733
23.600000	-0.000774
23.700000	-0.000905
23.800000	-0.000629
23.900000	-0.000231
24.000000	0.000022
24.100000	0.000262
24.200000	0.000272
24.300000	0.000422
24.400000	0.000566
24.500000	0.000702
24.600000	0.000648
24.700000	0.000442
24.800000	0.000128
24.900000	0.000028
25.000000	-0.000091
25.100000	-0.000434
25.200000	-0.000946
25.300000	-0.001440
25.400000	-0.002041
25.500000	-0.002575
25.600000	-0.002685
25.700000	-0.002666
25.800000	-0.002656
25.900000	-0.002268
26.000000	-0.001729
26.100000	-0.001322
26.200000	-0.001208
26.300000	-0.001305
26.400000	-0.001245
26.500000	-0.001194
26.600000	-0.000753
26.700000	-0.000478
26.800000	-0.000371
26.900000	-0.000371
27.000000	-0.000397
27.100000	-0.000718
27.200000	-0.000971
27.300000	-0.001200
27.400000	-0.001286
27.500000	-0.001084
27.600000	-0.000968
27.700000	-0.000468
27.800000	0.000079
27.900000	0.000330
28.000000	0.000395
28.100000	0.000978
28.200000	0.001349
28.300000	0.002054
28.400000	0.002918
28.500000	0.003449
28.600000	0.003599
28.700000	0.003285
28.800000	0.003005
28.900000	0.002995
29.000000	0.002775
29.100000	0.002405
29.200000	0.001960
29.300000	0.001367
29.400000	0.001035
29.500000	0.000626
29.600000	0.000377
29.700000	-0.000066
29.800000	0.000123
29.900000	0.000143
30.000000	-0.000028
30.100000	0.000005
30.200000	-0.000265
30.300000	-0.000603
30.400000	-0.001089
30.500000	-0.001339
30.600000	-0.001545
30.700000	-0.001484
30.800000	-0.001672
30.900000	-0.001914
31.000000	-0.002208
31.100000	-0.002445
31.200000	-0.002547
