Time	Position	CP
510.100000	131.421255	127.494736
510.200000	131.508190	127.637664
510.300000	131.741635	127.821700
510.400000	131.871442	128.008476
510.500000	132.060566	128.107009
510.600000	132.062752	128.226099
510.700000	132.120328	128.345700
510.800000	132.211554	128.388369
510.900000	132.332249	128.322660
511.000000	132.289612	128.204433
511.100000	132.221955	128.203142
511.200000	132.149919	128.180446
511.300000	132.032444	128.116472
511.400000	132.070437	128.028723
511.500000	132.131745	127.928990
511.600000	132.119746	127.791624
511.700000	132.173066	127.722964
511.800000	132.385625	127.584362
511.900000	132.260876	127.507428
512.000000	132.324311	127.518926
512.100000	132.244825	127.591923
512.200000	132.195582	127.751604
512.300000	132.095364	127.915583
512.400000	132.075423	127.959691
512.500000	132.016716	127.941646
512.600000	131.952520	127.903566
512.700000	132.102228	127.922360
512.800000	132.302445	127.989362
512.900000	132.273446	128.048130
513.000000	132.296759	128.103356
513.100000	132.403186	128.151299
513.200000	132.397015	128.102783
513.300000	132.229091	128.038124
513.400000	132.108059	127.875710
513.500000	132.013643	127.744290
513.600000	132.051379	127.573362
513.700000	131.950257	127.436823
513.800000	131.907751	127.393484
513.900000	132.052961	127.447949
514.000000	132.005029	127.513716
514.100000	132.090687	127.450376
514.200000	132.066908	127.467755
514.300000	132.163033	127.569210
514.400000	132.223879	127.675459
514.500000	132.423457	127.850275
514.600000	132.400325	128.023839
514.700000	132.591168	128.179344
514.800000	132.612541	128.266546
514.900000	132.645720	128.397186
515.000000	132.479597	128.511526
515.100000	132.456779	128.515757
515.200000	132.458365	128.476365
515.300000	132.738353	128.536023
515.400000	132.681995	128.584906
515.500000	132.625814	128.641445
515.600000	132.592589	128.645928
515.700000	132.765459	128.753380
515.800000	132.886463	128.760112
515.900000	132.926689	128.709347
516.000000	132.893841	128.713944
516.100000	132.815623	128.728209
516.200000	132.711441	128.717273
516.300000	132.701645	128.689290
516.400000	132.608518	128.511440
516.500000	132.660602	128.444795
516.600000	132.724817	128.420539
516.700000	132.677313	128.338097
516.800000	132.808820	128.374155
516.900000	132.829952	128.472465
517.000000	132.938626	128.498482
517.100000	132.969594	128.529557
517.200000	133.086243	128.578840
517.300000	133.127107	128.649301
517.400000	133.204763	128.634856
517.500000	133.068279	128.651360
517.600000	133.078000	128.654269
517.700000	133.177669	128.619411
517.800000	133.141750	128.508203
517.900000	132.772271	128.383510
518.000000	132.677110	128.403875
518.100000	132.536925	128.470207
518.200000	132.514916	128.684023
518.300000	132.441134	128.873133
518.400000	132.491399	129.126640
518.500000	132.509119	129.456011
518.600000	132.562369	129.653995
518.700000	132.739705	129.877498
518.800000	133.105763	130.079952
518.900000	133.289977	130.248671
519.000000	133.286258	130.362094
519.100000	133.352859	130.263808
519.200000	133.323772	130.150950
519.300000	133.379658	129.980831
519.400000	133.427577	129.852942
519.500000	133.632899	129.743619
519.600000	133.722562	129.603559
519.700000	133.826800	129.479092
519.800000	133.822143	129.377757
519.900000	133.758512	129.371738
520.000000	133.786096	129.361768
520.100000	133.916101	129.435671
520.200000	133.891727	129.535734
520.300000	133.908736	129.743768
520.400000	133.941722	129.999000
520.500000	133.893137	130.126038
520.600000	133.860635	130.203814
520.700000	134.093983	130.276929
520.800000	134.134378	130.282655
520.900000	134.163516	130.289260
521.000000	134.309249	130.371347
521.100000	134.309459	130.336759
521.200000	134.188608	130.278953
521.300000	134.286758	130.254951
521.400000	134.330659	130.331627
521.500000	134.433988	130.331690
521.600000	134.473330	130.378728
521.700000	134.601846	130.409890
521.800000	134.623858	130.474520
521.900000	134.559697	130.562569
522.000000	134.572571	130.660500
522.100000	134.652523	130.714768
522.200000	134.743897	130.847784
522.300000	134.841008	130.923047
522.400000	134.807482	131.072007
522.500000	134.670540	131.123186
522.600000	134.705218	131.277753
522.700000	134.749494	131.437667
522.800000	134.809069	131.584751
522.900000	134.804451	131.573604
523.000000	134.861240	131.611146
523.100000	135.203530	131.602881
523.200000	135.465497	131.480156
523.300000	135.618463	131.365991
523.400000	135.636665	131.244930
523.500000	135.547491	131.126237
523.600000	135.438248	130.967558
523.700000	135.371069	130.801729
523.800000	135.284974	130.706871
523.900000	135.344234	130.737376
524.000000	135.495113	130.895035
524.100000	135.388283	130.967393
524.200000	135.365051	131.038709
524.300000	135.403811	131.191282
524.400000	135.564877	131.275060
524.500000	135.542369	131.349235
524.600000	135.607093	131.360302
524.700000	135.628231	131.425701
524.800000	135.614313	131.507531
524.900000	135.685731	131.575503
525.000000	135.630124	131.548871
525.100000	135.611042	131.341911
525.200000	135.590761	131.148156
525.300000	135.693015	131.007780
525.400000	135.785913	130.901843
525.500000	135.695608	130.806241
525.600000	135.685080	130.784466
525.700000	135.577607	130.738590
525.800000	135.373512	130.734481
525.900000	135.295025	130.802870
526.000000	135.114416	130.887492
526.100000	135.060772	131.023518
526.200000	135.202669	131.078778
526.300000	135.203292	131.225418
526.400000	135.169312	131.403171
526.500000	135.096637	131.494826
526.600000	135.187142	131.615208
526.700000	135.213721	131.684952
526.800000	135.386097	131.780161
526.900000	135.558649	131.861630
527.000000	135.755848	131.810704
527.100000	135.932544	131.775180
527.200000	136.001286	131.611770
527.300000	135.879838	131.495889
527.400000	135.902635	131.449323
527.500000	136.039928	131.445788
527.600000	135.817846	131.578204
527.700000	135.804741	131.719173
527.800000	135.747167	131.842846
527.900000	135.895482	131.970819
528.000000	135.920776	132.141592
528.100000	136.106178	132.291061
528.200000	136.048109	132.424559
528.300000	136.072529	132.415113
528.400000	136.230541	132.465414
528.500000	136.382209	132.467951
528.600000	136.450553	132.500620
528.700000	136.456199	132.432469
528.800000	136.570057	132.326152
528.900000	136.597856	132.168943
529.000000	136.442785	131.916189
529.100000	136.364601	131.692229
529.200000	136.291705	131.516602
529.300000	136.208492	131.336402
529.400000	136.268447	131.230837
529.500000	136.376270	131.235542
529.600000	136.293919	131.371608
529.700000	136.215737	131.478536
529.800000	136.299153	131.691309
529.900000	136.248130	131.892273
530.000000	136.389581	132.026331
530.100000	136.320126	132.123874
530.200000	136.025587	132.126133
530.300000	135.947102	132.140308
530.400000	135.925472	132.213538
530.500000	136.017568	132.315014
530.600000	136.211364	132.480279
530.700000	136.507226	132.619541
530.800000	136.579706	132.675518
530.900000	136.604171	132.743256
531.000000	136.657735	132.930146
531.100000	136.746110	133.020977
531.200000	136.867926	133.096852
531.300000	137.049194	133.079644
531.400000	137.023995	133.084524
531.500000	136.952961	133.060759
531.600000	136.939371	133.224221
531.700000	136.998137	133.490566
531.800000	137.202025	133.659531
531.900000	137.252870	133.810669
532.000000	137.363821	133.907746
532.100000	137.506814	133.877446
532.200000	137.465281	133.854223
532.300000	137.536071	133.733262
532.400000	137.619383	133.595308
532.500000	137.745766	133.500925
532.600000	137.889417	133.306325
532.700000	137.911689	133.231089
532.800000	137.802530	133.166196
532.900000	137.731372	133.142982
533.000000	137.551786	133.033270
533.100000	137.565418	132.869209
533.200000	137.507666	132.685161
533.300000	137.305583	132.521240
533.400000	137.128787	132.480764
533.500000	137.126672	132.536722
533.600000	137.371933	132.726582
533.700000	137.334458	132.861760
533.800000	137.173531	132.995366
533.900000	137.010995	133.114341
534.000000	137.074106	133.205393
534.100000	137.095857	133.329640
534.200000	136.959487	133.443530
534.300000	137.043301	133.582899
534.400000	137.322685	133.668302
534.500000	137.507723	133.748775
534.600000	137.589956	133.794123
534.700000	137.768016	133.712181
534.800000	137.884656	133.636434
534.900000	137.827045	133.585831
535.000000	137.848810	133.533791
535.100000	137.823777	133.554089
535.200000	137.893195	133.556452
535.300000	137.936695	133.651780
535.400000	137.915686	133.711930
535.500000	138.087595	133.648674
535.600000	138.052844	133.474867
535.700000	137.983985	133.270074
535.800000	137.875513	133.123471
535.900000	137.602244	132.974455
536.000000	137.362407	132.889070
536.100000	137.391787	132.848399
536.200000	137.170496	132.811121
536.300000	137.130555	132.803132
536.400000	137.006512	132.763031
536.500000	136.958726	132.838900
536.600000	137.045199	132.869000
536.700000	137.101518	132.949045
536.800000	137.091903	132.940029
536.900000	137.117416	132.962373
537.000000	137.246172	133.164591
537.100000	137.429416	133.403999
537.200000	137.428328	133.608776
537.300000	137.562297	133.752445
537.400000	137.780711	133.888970
537.500000	137.867439	134.049186
537.600000	137.922308	134.216167
537.700000	137.853072	134.251202
