Lag Time	AutoCorrelation
13.900000	0.000317
14.000000	0.000343
14.100000	0.000344
14.200000	0.000339
14.300000	0.000287
14.400000	0.000179
14.500000	0.000101
14.600000	0.000071
14.700000	0.000037
14.800000	0.000000
14.900000	-0.000026
15.000000	-0.000009
15.100000	0.000022
15.200000	0.000030
15.300000	0.000048
15.400000	0.000069
15.500000	0.000085
15.600000	0.000135
15.700000	0.000251
15.800000	0.000424
15.900000	0.000604
16.000000	0.000741
16.100000	0.000834
16.200000	0.000913
16.300000	0.000992
16.400000	0.001097
16.500000	0.001162
16.600000	0.001234
16.700000	0.001290
16.800000	0.001326
16.900000	0.001361
17.000000	0.001376
17.100000	0.001413
17.200000	0.001427
17.300000	0.001443
17.400000	0.001426
17.500000	0.001395
17.600000	0.001396
17.700000	0.001430
17.800000	0.001430
17.900000	0.001377
18.000000	0.001325
18.100000	0.001290
18.200000	0.001308
18.300000	0.001368
18.400000	0.001424
18.500000	0.001457
18.600000	0.001469
18.700000	0.001438
18.800000	0.001335
18.900000	0.001227
19.000000	0.001143
19.100000	0.001058
19.200000	0.000895
19.300000	0.000729
19.400000	0.000539
19.500000	0.000311
19.600000	0.000098
19.700000	-0.000062
19.800000	-0.000185
19.900000	-0.000269
20.000000	-0.000330
20.100000	-0.000388
20.200000	-0.000440
20.300000	-0.000451
20.400000	-0.000429
20.500000	-0.000375
20.600000	-0.000321
20.700000	-0.000287
20.800000	-0.000301
20.900000	-0.000289
21.000000	-0.000220
21.100000	-0.000126
21.200000	-0.000038
21.300000	0.000004
21.400000	0.000001
21.500000	-0.000039
21.600000	-0.000045
21.700000	-0.000022
21.800000	0.000012
21.900000	0.000010
22.000000	-0.000028
22.100000	-0.000048
22.200000	-0.000075
22.300000	-0.000112
22.400000	-0.000154
22.500000	-0.000198
22.600000	-0.000237
22.700000	-0.000324
22.800000	-0.000432
22.900000	-0.000493
23.000000	-0.000454
23.100000	-0.000383
23.200000	-0.000289
23.300000	-0.000226
23.400000	-0.000212
23.500000	-0.000237
23.600000	-0.000267
23.700000	-0.000296
23.800000	-0.000352
23.900000	-0.000432
24.000000	-0.000475
24.100000	-0.000513
24.200000	-0.000584
24.300000	-0.000678
24.400000	-0.000816
24.500000	-0.000961
24.600000	-0.001128
24.700000	-0.001279
24.800000	-0.001431
24.900000	-0.001558
25.000000	-0.001563
25.100000	-0.001529
25.200000	-0.001463
25.300000	-0.001360
25.400000	-0.001241
25.500000	-0.001148
25.600000	-0.001116
25.700000	-0.001090
25.800000	-0.001045
25.900000	-0.001009
26.000000	-0.000955
26.100000	-0.000880
26.200000	-0.000794
26.300000	-0.000691
26.400000	-0.000598
26.500000	-0.000504
26.600000	-0.000443
26.700000	-0.000448
26.800000	-0.000484
26.900000	-0.000520
27.000000	-0.000558
27.100000	-0.000635
27.200000	-0.000696
